mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
ewc,64,0.3,0.001,0.0,90,5000,1000.0,5.0,grid,0.3068005880742194,0.9690316205533597,0.31549443157186635,0.30256547300908604,0.11382086032163792,0.105348913759052,0.03454222923031438
ewc,64,0.3,0.001,0.0001,60,5000,1000.0,5.0,grid,0.2950153716768837,0.946501976284585,0.5560206293444951,0.05521111704970604,0.08514347239075078,0.08283410138248848,0.04438093360927696
ewc,64,0.3,0.001,0.0001,90,5000,1000.0,5.0,grid,0.22046503815919458,0.9746837944664032,0.15115105762762537,0.053750222697309814,0.11944354246064977,0.021757735352205397,0.0020038763509740154
ewc,64,0.3,0.0005,0.0,60,5000,1000.0,5.0,grid,0.23889763895241214,0.6632608695652173,0.5551984453247627,0.07448779618742206,0.053680378719258966,0.0739466754443713,0.012811668473440426
ewc,64,0.3,0.0005,0.0,90,5000,1000.0,5.0,grid,0.20454285703617062,0.9696047430830039,0.059141191419388596,0.06666666666666667,0.057149693230564146,0.07026003949967084,0.0044348083177293786
ewc,64,0.3,0.0005,0.0001,60,5000,1000.0,5.0,grid,0.2103595918254503,0.8641304347826086,0.12428058898273414,0.059629431676465346,0.10061012082785022,0.06173469387755102,0.05177228080549259
ewc,64,0.3,0.0005,0.0001,90,5000,1000.0,5.0,grid,0.2290450225697941,0.7703557312252964,0.3742432169818372,0.10951362907536077,0.08056329362705723,0.037524687294272545,0.0020695772149403767
ewc,64,0.5,0.001,0.0,60,5000,1000.0,5.0,grid,0.24045609423967482,0.552608695652174,0.6727520741460498,0.06636379832531623,0.07878591082323587,0.05957867017774852,0.012647416313524522
ewc,64,0.5,0.001,0.0,90,5000,1000.0,5.0,grid,0.24263500301369492,0.9491304347826087,0.34152403019657673,0.04304293604133262,0.08507511151368072,0.03210994075049375,0.004927564797477087
ewc,64,0.5,0.001,0.0001,60,5000,1000.0,5.0,grid,0.26432284193124117,0.9858893280632411,0.38859406532625757,0.08138250489934082,0.09273152974552663,0.03533574720210665,0.0020038763509740154
ewc,64,0.5,0.001,0.0001,90,5000,1000.0,5.0,grid,0.22972191529554306,0.9524505928853755,0.2612676582704238,0.06509887760555852,0.07509442346145301,0.022416063199473337,0.0020038763509740154
si,64,0.3,0.001,0.0,60,5000,1000.0,5.0,grid,0.3532237380631304,0.9766798418972332,0.8564541445548994,0.053839301621236416,0.08410096901543247,0.08084265964450296,0.06742551164547814
si,64,0.3,0.001,0.0,90,5000,1000.0,5.0,grid,0.23395787138954768,0.9772727272727273,0.15075865161820765,0.051434170675218244,0.08372498419154718,0.10141540487162606,0.03914128970795966
si,64,0.3,0.001,0.0001,60,5000,1000.0,5.0,grid,0.2732983692764394,0.9465810276679842,0.4573024889752597,0.05866737929805808,0.11050535778374036,0.06473008558262014,0.0020038763509740154
si,64,0.3,0.001,0.0001,90,5000,1000.0,5.0,grid,0.17452518812746887,0.8037944664031621,0.05473129531355109,0.04657046142882594,0.0767692649496693,0.06328176431863068,0.0020038763509740154
si,64,0.3,0.0005,0.0,60,5000,1000.0,5.0,grid,0.22875506856525815,0.6515810276679842,0.3832872411988938,0.1278995189738108,0.08406678857689744,0.07880184331797235,0.04689399165599028
si,64,0.3,0.0005,0.0,90,5000,1000.0,5.0,grid,0.2927410536832759,0.9638537549407115,0.46425368114208837,0.17104934972385533,0.07006989899680413,0.058245556287030945,0.02897408100916527
si,64,0.3,0.0005,0.0001,60,5000,1000.0,5.0,grid,0.357879511188909,0.5539328063241107,0.5121459002915016,0.3438624621414573,0.3182711534188984,0.27458854509545755,0.1444761998620282
