mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,eps_learn,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
rehearsal,64,0.3,0.0005,0.0,10,5000,1000.0,5.0,True,grid,0.7028090568591862,0.5557905138339921,0.5894685701472456,0.7805273472296455,0.817578999538564,0.7455069124423963,0.7279819979632732
rehearsal,64,0.3,0.0005,0.0,15,5000,1000.0,5.0,True,grid,0.8222368298676658,0.841106719367589,0.8905747813737948,0.8682166399429895,0.7417155162100729,0.7820770243581303,0.8097302979534181
rehearsal,64,0.3,0.0005,0.0001,10,5000,1000.0,5.0,True,grid,0.8197841961404441,0.7850197628458498,0.8217729277225503,0.8551220381257795,0.8207406901030541,0.8195194206714944,0.8165303373739364
rehearsal,64,0.3,0.0005,0.0001,15,5000,1000.0,5.0,True,grid,0.8212387496370998,0.8499209486166008,0.8595933926302414,0.8517014074469981,0.8341565122280519,0.7777978933508888,0.7542623435498177
rehearsal,64,0.5,0.001,0.0,10,5000,1000.0,5.0,True,grid,0.8297321004925755,0.7806126482213439,0.8854735032513641,0.8175129164439694,0.8381727137559175,0.8392527978933509,0.8173680233895075
rehearsal,64,0.5,0.001,0.0,15,5000,1000.0,5.0,True,grid,0.7891234365639995,0.5693478260869566,0.8578369085880858,0.822732941386068,0.7929519935740775,0.84825543120474,0.8436155185440689
rehearsal,64,0.5,0.001,0.0001,10,5000,1000.0,5.0,True,grid,0.7606368544100146,0.8217193675889328,0.8335264220046341,0.8412079102084447,0.7255994394408081,0.6845786701777485,0.6571893170395191
rehearsal,64,0.5,0.001,0.0001,15,5000,1000.0,5.0,True,grid,0.7932928604603267,0.8718577075098815,0.8978249495477988,0.7019241047568145,0.7455266351067285,0.7460664911125741,0.7965572747281626
ewc,64,0.3,0.001,0.0,10,5000,1000.0,5.0,True,grid,0.554832185765388,0.7052766798418972,0.8444951042678825,0.5848031355781222,0.4788166732179174,0.39550691244239633,0.32009460924411154
ewc,64,0.3,0.001,0.0,15,5000,1000.0,5.0,True,grid,0.5970373172610159,0.9000592885375495,0.9074856117796547,0.442116515232496,0.47372378787619845,0.4411290322580645,0.41770966788213265
ewc,64,0.3,0.001,0.0001,10,5000,1000.0,5.0,True,grid,0.4461327593091026,0.8873320158102767,0.8498393003961432,0.2471583823267415,0.15355562011860613,0.2540487162606978,0.28486252094215037
ewc,64,0.3,0.001,0.0001,15,5000,1000.0,5.0,True,grid,0.5496102932013293,0.9387944664031621,0.7686486284475671,0.38517726705861394,0.38825560131936493,0.4225641869651086,0.39422160901415854
ewc,64,0.3,0.0005,0.0,10,5000,1000.0,5.0,True,grid,0.7220832024616758,0.858201581027668,0.8639846027356305,0.8637626937466596,0.794165399142071,0.5745885450954575,0.37779639302256823
ewc,64,0.3,0.0005,0.0,15,5000,1000.0,5.0,True,grid,0.5592712859147615,0.5809288537549407,0.7629120263098886,0.5805095314448602,0.5220036573069232,0.4294930875576037,0.47978055911435236
ewc,64,0.3,0.0005,0.0001,10,5000,1000.0,5.0,True,grid,0.46690792087196703,0.541798418972332,0.5245160325883848,0.45879208979155534,0.38793088715328217,0.4031435154707044,0.4852665812555435
ewc,64,0.3,0.0005,0.0001,15,5000,1000.0,5.0,True,grid,0.6812487515649953,0.6526284584980238,0.8562299125495179,0.6966328166755745,0.5978329601968794,0.5962146148782094,0.6879537465917677
ewc,64,0.5,0.001,0.0,10,5000,1000.0,5.0,True,grid,0.40107998355745816,0.5578656126482213,0.7116563270797519,0.46935685016924994,0.23695589014407054,0.22575707702435813,0.20488814427909727
ewc,64,0.5,0.001,0.0,15,5000,1000.0,5.0,True,grid,0.3140149074792671,0.8556916996047431,0.45027655280663725,0.11519686442187778,0.12909951634679473,0.18788676761026993,0.14593804408527972
ewc,64,0.5,0.001,0.0001,10,5000,1000.0,5.0,True,grid,0.5144671689984998,0.5670750988142292,0.5839188280140519,0.49535008017103155,0.46037632662827066,0.47863726135615536,0.5014454190072599
