mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,eps_learn,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
si,64,0.3,0.0005,0.0,60,5000,1000.0,5.0,True,grid,0.1898710079974083,0.8185177865612648,0.054488377307721055,0.05236059148405487,0.07458171688342762,0.07784726793943383,0.061430307808547684
si,64,0.3,0.0005,0.0,90,5000,1000.0,5.0,True,grid,0.19787089659682458,0.9511264822134388,0.054488377307721055,0.075432032781044,0.04523781040110745,0.05893680052666228,0.0020038763509740154
si,64,0.3,0.0005,0.0001,60,5000,1000.0,5.0,True,grid,0.20937688253391243,0.9436363636363636,0.05467523731220569,0.052039907357919114,0.0944918223300805,0.10941408821593153,0.0020038763509740154
si,64,0.3,0.0005,0.0001,90,5000,1000.0,5.0,True,grid,0.20761466099061218,0.9797826086956521,0.054488377307721055,0.04657046142882594,0.08469912668979543,0.07814351547070442,0.0020038763509740154
si,64,0.5,0.001,0.0,60,5000,1000.0,5.0,True,grid,0.18901599244234066,0.9394268774703557,0.054488377307721055,0.05200427578834848,0.05556030283868542,0.030612244897959183,0.0020038763509740154
si,64,0.5,0.001,0.0,90,5000,1000.0,5.0,True,grid,0.20397804727789495,0.9712845849802372,0.054488377307721055,0.04657046142882594,0.08495547997880813,0.06456550362080316,0.0020038763509740154
si,64,0.5,0.001,0.0001,60,5000,1000.0,5.0,True,grid,0.19652553469144043,0.9625098814229249,0.054488377307721055,0.05668982718688758,0.044639652726744486,0.05882159315339039,0.0020038763509740154
si,64,0.5,0.001,0.0001,90,5000,1000.0,5.0,True,grid,0.19296148481642383,0.9840711462450593,0.054488377307721055,0.04079814715838233,0.04072599251448396,0.03568136932192232,0.0020038763509740154
gen_replay,64,0.3,0.001,0.0,60,5000,1000.0,5.0,True,grid,0.8534898968853191,0.975,0.9620300470887211,0.7761090326028861,0.8024370652675474,0.7928242264647795,0.81253900988798
gen_replay,64,0.3,0.001,0.0,90,5000,1000.0,5.0,True,grid,0.8271863993547086,0.9784189723320158,0.8017789072426937,0.7813646891145555,0.7897390323517851,0.8002468729427255,0.8115699221444762
gen_replay,64,0.3,0.001,0.0001,60,5000,1000.0,5.0,True,grid,0.8358789054753676,0.9670158102766798,0.7837095448090291,0.8370033849991092,0.8007451335600636,0.8099242922975642,0.8168752669097599
gen_replay,64,0.3,0.001,0.0001,90,5000,1000.0,5.0,True,grid,0.854046001667578,0.9699604743083003,0.8283877718813065,0.8110992339212543,0.8076324919248714,0.8566326530612245,0.8505633849085116
gen_replay,64,0.3,0.0005,0.0,60,5000,1000.0,5.0,True,grid,0.6472030336088537,0.6030039525691699,0.8622468046939233,0.6672189559950116,0.5759574795344624,0.5379196840026333,0.6368713248579219
gen_replay,64,0.3,0.0005,0.0,90,5000,1000.0,5.0,True,grid,0.8017999340207931,0.6894664031620553,0.9251812542043502,0.762337430963834,0.8431801480012988,0.8032916392363397,0.7873427285568805
gen_replay,64,0.3,0.0005,0.0001,60,5000,1000.0,5.0,True,grid,0.7574672598838571,0.5519960474308301,0.9175199940204799,0.7070372349902013,0.7768188265855451,0.774835418038183,0.8165960382379028
gen_replay,64,0.3,0.0005,0.0001,90,5000,1000.0,5.0,True,grid,0.6836633215198442,0.5519762845849803,0.4700276552806637,0.6542490646712987,0.8075470408285338,0.8035055957867018,0.8146742879668868
