mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,num_heads,attn_drop,negative_slope,residual,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
naive,256,0.3,0.0001,0.0001,20,5000,500.0,10.0,1,0.4,0.2,True,random,0.28817234026929933,0.6055731225296442,0.37058076089393827,0.2449314092285765,0.22128415907576093,0.16158657011191574,0.12507801977596006
naive,64,0.0,0.0001,0.0001,15,5000,500.0,10.0,2,0.2,0.1,False,random,0.22564028053563712,0.4409090909090909,0.3007698632184767,0.17509353287012294,0.1585630543639875,0.13943383805134957,0.139072303800795
naive,64,0.3,0.0001,1e-05,15,2000,2000.0,5.0,4,0.0,0.2,False,random,0.262360286372986,0.3877667984189723,0.35793033859032813,0.2900053447354356,0.24198041460871944,0.1575707702435813,0.13890805164087908
naive,256,0.5,0.0005,1e-05,20,2000,2000.0,10.0,1,0.2,0.2,True,random,0.37270634672083514,0.6017786561264822,0.5128746543089917,0.39265989666844825,0.2837489104985217,0.23117182356813692,0.21400413915442987
naive,64,0.5,0.0001,0.0001,10,2000,1000.0,10.0,4,0.4,0.1,False,random,0.27994085494292814,0.4476877470355731,0.3711413409073922,0.2954035275253875,0.2524054483619025,0.22537853851217907,0.0876285273151342
naive,128,0.0,0.001,0.0001,10,5000,2000.0,10.0,4,0.4,0.2,True,random,0.8012681332532003,0.9409683794466404,0.9117086478810076,0.7972741849278461,0.734623075214055,0.69825543120474,0.7247790808449132
naive,128,0.0,0.0001,0.0,15,10000,2000.0,2.0,8,0.2,0.1,False,random,0.43110475050784447,0.5566600790513834,0.4654682711712385,0.4059326563335115,0.3908533146480269,0.38503949967083606,0.38267468217207057
rehearsal,128,0.5,0.001,1e-05,10,10000,1000.0,5.0,1,0.0,0.2,True,random,0.49096885232913734,0.5024308300395257,0.5060355781448539,0.5093176554427222,0.4923863073163229,0.46558591178406844,0.4700568312473309
rehearsal,64,0.0,0.001,0.0001,20,10000,2000.0,10.0,2,0.0,0.2,False,random,0.8997547334902064,0.8036166007905138,0.9506502728156065,0.9215749153750222,0.9224958556218277,0.9033903884134299,0.8968003679248382
rehearsal,64,0.5,0.0001,0.0,15,10000,1000.0,2.0,8,0.2,0.2,False,random,0.39227088272217175,0.5042490118577075,0.43798116451154795,0.37504008551576695,0.35616016953497515,0.3411784068466096,0.33901645806642355
rehearsal,64,0.5,0.0005,1e-05,20,10000,1000.0,5.0,2,0.0,0.1,False,random,0.4984845902480597,0.5567588932806324,0.5211525525076612,0.5051309460181721,0.4846957086459419,0.4623107307439105,0.46085871029204034
rehearsal,64,0.3,0.0005,0.0,20,5000,500.0,2.0,4,0.0,0.2,True,random,0.7086218701689994,0.7781422924901186,0.809197249420734,0.7249420986994477,0.6597679148223472,0.6440915075707703,0.6355901580105778
rehearsal,256,0.5,0.001,1e-05,10,2000,2000.0,5.0,1,0.4,0.2,False,random,0.44967982927280997,0.5659683794466404,0.5402122729650946,0.4996793158738642,0.4394066275870319,0.3485516787360105,0.3042607010282185
rehearsal,64,0.0,0.0001,1e-05,10,10000,2000.0,10.0,1,0.2,0.2,False,random,0.22549404733194825,0.4519367588932806,0.18801853651244488,0.18232674149296277,0.17049202741271172,0.18115536537195523,0.17903485430833416
rehearsal,64,0.0,0.001,0.0001,15,10000,1000.0,5.0,4,0.2,0.2,False,random,0.7988827918773498,0.7593873517786561,0.8407392181777412,0.8085693924817389,0.8005913215866559,0.7841342988808426,0.799875168358464
rehearsal,256,0.3,0.0001,0.0001,15,10000,1000.0,10.0,1,0.2,0.2,False,random,0.4477210435801651,0.593399209486166,0.4958890799013379,0.4270087297345448,0.4081486165467503,0.3755431204739961,0.3863375053381952
rehearsal,256,0.3,0.001,0.0001,15,10000,2000.0,10.0,4,0.4,0.2,False,random,0.6678184037865685,0.7084584980237154,0.6955489946931759,0.6539461963299483,0.654999743646711,0.6613890717577353,0.6325679182681252
rehearsal,128,0.0,0.0005,0.0001,20,5000,2000.0,2.0,4,0.0,0.2,True,random,0.8877873582726333,0.9837747035573122,0.9606285970550863,0.9034918938179227,0.8272520636439765,0.8631500987491771,0.7884267928123255
rehearsal,64,0.0,0.001,0.0001,20,2000,2000.0,10.0,1,0.2,0.2,True,random,0.7287697101042049,0.7273122529644269,0.8193624336646984,0.7719045073935507,0.7194298702852358,0.7022712310730744,0.632337965244243
ewc,64,0.5,0.0001,0.0001,15,10000,500.0,10.0,4,0.4,0.1,True,random,0.27114253545377703,0.5228458498023716,0.3819418491666044,0.2717441653304828,0.20431357134312034,0.12760039499670836,0.1184093820833744
ewc,64,0.3,0.0005,0.0001,10,2000,2000.0,10.0,4,0.4,0.1,True,random,0.39527244458923794,0.5145059288537549,0.48389266761342403,0.395154106538393,0.3562627108505802,0.32458854509545754,0.2972307085838179
ewc,256,0.3,0.0005,0.0,15,2000,500.0,5.0,1,0.4,0.2,False,random,0.3124415486630133,0.5121739130434783,0.4674116152178788,0.31993586317477285,0.289320321979731,0.14374588545095457,0.1420616931112644
ewc,64,0.3,0.001,1e-05,10,5000,500.0,10.0,2,0.0,0.1,True,random,0.5835095736575444,0.6710276679841897,0.6880932805142387,0.6363976483164083,0.5660451523593047,0.5020901909150757,0.4374035018560494
ewc,64,0.0,0.0001,0.0001,10,2000,500.0,2.0,2,0.4,0.1,True,random,0.31325398082163886,0.46446640316205534,0.3561177965468271,0.29832531623017994,0.3006340471348247,0.2665734035549704,0.19340691830097564
ewc,256,0.0,0.001,0.0,15,5000,500.0,5.0,8,0.4,0.1,False,random,0.5357844362223733,0.7853162055335968,0.6466851035204425,0.5611437733832175,0.4771589219489686,0.37475312705727454,0.3696494858907395
ewc,128,0.3,0.0005,1e-05,15,5000,500.0,2.0,2,0.4,0.2,True,random,0.49270518881257236,0.6840909090909091,0.6181515808356379,0.5336005701051131,0.44694341428400525,0.36604674127715603,0.3073979172826123
ewc,64,0.5,0.001,0.0001,20,2000,2000.0,10.0,1,0.4,0.2,True,random,0.30870591723832813,0.5770750988142292,0.4092420958218103,0.28414395154106536,0.2267701194606327,0.18334430546412114,0.1716599323281101
ewc,128,0.3,0.0005,1e-05,20,10000,500.0,10.0,2,0.4,0.2,True,random,0.48678789890706003,0.6948814229249012,0.6555983257343598,0.5189025476572243,0.40502110642079536,0.34833772218564846,0.29798626851943105
ewc,128,0.5,0.001,1e-05,10,2000,1000.0,10.0,2,0.4,0.2,True,random,0.44020119618175174,0.6411067193675889,0.5894872561476941,0.47006948156066275,0.3775229436193666,0.30189269256089535,0.2611280838343024
ewc,128,0.3,0.0001,0.0,15,2000,500.0,2.0,2,0.2,0.2,True,random,0.3170055486744577,0.4618181818181818,0.41004559384109424,0.32177088900766077,0.2888930664980432,0.22407834101382487,0.19542721986794126
ewc,64,0.5,0.0005,1e-05,20,2000,500.0,10.0,2,0.2,0.1,True,random,0.33421175542774656,0.5848616600790514,0.4329920023918081,0.33030464991982894,0.2766051988447012,0.20515141540487164,0.17535560592621793
si,256,0.3,0.0005,0.0,15,10000,500.0,5.0,1,0.2,0.2,False,random,0.4252722645082115,0.593794466403162,0.5708012556992301,0.4294316764653483,0.355322748790867,0.3132817643186307,0.28900167537203114
si,256,0.0,0.0001,0.0,15,5000,1000.0,5.0,8,0.4,0.1,True,random,0.7234016790365946,0.8290711462450593,0.8082629493983108,0.6986103687867451,0.6814895835113565,0.6592330480579328,0.6637429782201636
si,128,0.0,0.0001,0.0001,20,10000,1000.0,10.0,1,0.2,0.1,True,random,0.2876910022307583,0.5666205533596838,0.3233238657597728,0.2656689827186888,0.24033975355903817,0.2032916392363397,0.12690121875102658
si,128,0.0,0.001,0.0001,20,2000,1000.0,2.0,8,0.4,0.2,False,random,0.4923814384508665,0.7807509881422925,0.613928544734285,0.5348298592553002,0.3198263633722421,0.35197498354180384,0.35297789165927534
