mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,num_heads,feat_drop,attn_drop,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
si,64,0.3,0.001,0.0001,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.2731458438837638,0.9611660079051383,0.44450257866806187,0.07256369143060752,0.072496710132791,0.08614219881500987,0.0020038763509740154
si,64,0.3,0.0005,0.0,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.20370800907595707,0.4480237154150198,0.42643321623439717,0.0815428469624087,0.09953343701399689,0.11420342330480579,0.05251141552511415
si,64,0.3,0.0005,0.0,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.32587313252421773,0.8158498023715415,0.5063719261529263,0.25291288081239977,0.15796489668962452,0.11708360763660303,0.10505568148221149
si,64,0.3,0.0005,0.0001,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.2133602512263616,0.9325098814229249,0.08479707003512968,0.05236059148405487,0.10286602977116197,0.06232718894009216,0.045300745704806016
si,64,0.3,0.0005,0.0001,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.20859739413371206,0.8499407114624505,0.16296060991105463,0.054694459290931766,0.07699143780014697,0.06721527320605662,0.03978187313163168
si,64,0.5,0.001,0.0,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.16872447775541707,0.6542885375494071,0.052358173256596155,0.0647069303402815,0.09965306854886948,0.10714285714285714,0.034197299694490986
si,64,0.5,0.001,0.0,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.25336809708338975,0.9835375494071146,0.296995291127887,0.07197577053269197,0.06559226154871567,0.061652402896642526,0.04045530698728688
si,64,0.5,0.001,0.0001,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.34676878817925066,0.9538537549407115,0.6969691307272592,0.14630322465704615,0.08705757694871225,0.13108953258722844,0.06533950921454618
si,64,0.5,0.001,0.0001,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.35671007016706247,0.9708498023715415,0.7644069063457658,0.2826652414038838,0.08620306598533659,0.032751810401579984,0.0033835944942675997
gen_replay,64,0.3,0.001,0.0,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.7330466702011674,0.9719565217391304,0.6251027730024665,0.7520220915731338,0.6961359014236153,0.6652896642527979,0.6877730692158602
