mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,aggregator,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
naive,64,0.3,0.0005,1e-05,15,5000,500.0,10.0,pool,bayes,0.3588044847661611,0.5634782608695652,0.5271507586516182,0.3935685016924996,0.27436638012065695,0.20918367346938777,0.18507933379323938
naive,128,0.3,0.0001,0.0001,20,10000,500.0,10.0,pool,bayes,0.4210468304764883,0.5312648221343873,0.4664399431945586,0.3863174772848744,0.38516227163194505,0.3733377221856485,0.3837587464275155
naive,256,0.3,0.0005,0.0001,10,10000,500.0,5.0,lstm,bayes,0.6372205912687995,0.6849407114624506,0.8511846924284326,0.6978442900409763,0.504810896723805,0.5339697169190257,0.5505732400381065
naive,128,0.0,0.001,0.0001,20,2000,1000.0,2.0,pool,bayes,0.5389566951099818,0.996798418972332,0.45818073099633755,0.3515054338143595,0.5213371387554903,0.4436635944700461,0.4622548536513255
naive,64,0.5,0.0005,0.0001,20,2000,500.0,2.0,lstm,bayes,0.4229431335866316,0.6172134387351779,0.5838067120113611,0.42022091573133796,0.33601080101857705,0.2978275181040158,0.28257941591931934
naive,256,0.5,0.0001,1e-05,10,10000,2000.0,10.0,pool,bayes,0.4011370884747107,0.6189328063241106,0.5327378727857089,0.445626224835204,0.3384205219352964,0.28541803818301514,0.18568706678492822
naive,128,0.0,0.001,0.0001,15,10000,1000.0,2.0,gcn,bayes,0.8106270176781426,0.8849802371541502,0.8934150534419613,0.8319437021200784,0.7741698425990805,0.7450625411454904,0.7341907296080944
naive,128,0.0,0.001,1e-05,15,10000,1000.0,2.0,lstm,bayes,0.764454776790359,0.9889130434782609,0.8328537259884894,0.723285230714413,0.7069369200006836,0.7018433179723502,0.6328964225879571
naive,128,0.5,0.001,1e-05,15,5000,1000.0,10.0,pool,bayes,0.46672552076965523,0.9034189723320158,0.6169183048060393,0.4309460181721005,0.28339001589390395,0.30916721527320606,0.25651259814066557
naive,128,0.3,0.0001,0.0001,15,10000,1000.0,2.0,lstm,bayes,0.26293255812806954,0.5404545454545454,0.44057851857388447,0.18733297701763763,0.157281287918924,0.13196181698485845,0.11998620281856706
naive,128,0.0,0.0005,0.0001,15,5000,2000.0,10.0,lstm,bayes,0.6179828479334568,0.8028656126482213,0.758296584199118,0.6081774452164618,0.5459128740621743,0.49333443054641213,0.4993101409283532
naive,128,0.3,0.0005,1e-05,20,5000,1000.0,10.0,gcn,bayes,0.6734431150342726,0.8351581027667985,0.7495328499887884,0.6415464101193658,0.6282706407123203,0.600213956550362,0.5859367300680004
naive,256,0.3,0.0005,1e-05,15,5000,1000.0,5.0,gcn,bayes,0.6293628050766368,0.7466403162055336,0.6846550564317213,0.5932834491359344,0.5621656725855793,0.5739302172481896,0.6155021188528629
naive,128,0.3,0.0005,1e-05,15,10000,1000.0,10.0,gcn,bayes,0.6672330607546931,0.8149802371541502,0.7172621272142911,0.6533226438624622,0.6370208329772871,0.6084265964450296,0.5723859268749384
naive,64,0.0,0.0005,1e-05,15,10000,1000.0,2.0,lstm,bayes,0.5657373131498892,0.8737154150197628,0.6797406383137753,0.5775342953857118,0.4838924683403688,0.3935977616853193,0.38594330015439704
rehearsal,64,0.3,0.001,0.0,10,10000,1000.0,2.0,pool,bayes,0.7074239264416228,0.5125296442687747,0.676265042230361,0.7677534295385712,0.7782373147847487,0.7548716260697828,0.7548865017574982
