mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,aggregator,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
ewc,64,0.3,0.0005,0.0,90,5000,1000.0,5.0,pool,grid,0.41639590671518567,0.980909090909091,0.7886052769265266,0.2271690717976127,0.2438603387281459,0.24842001316655696,0.009411648763181235
si,64,0.3,0.001,0.0,60,5000,1000.0,5.0,mean,grid,0.21836981286285506,0.9565217391304348,0.054488377307721055,0.05195082843399252,0.20277545160904414,0.04247860434496379,0.0020038763509740154
si,64,0.3,0.001,0.0,60,5000,1000.0,5.0,pool,grid,0.5383309510121507,0.9865612648221344,0.6450220494805292,0.4140210226260467,0.39874899594961805,0.41696840026333115,0.36866397293124403
si,64,0.3,0.001,0.0,90,5000,1000.0,5.0,mean,grid,0.2181565380027647,0.9890513833992095,0.054488377307721055,0.06410119365758062,0.08485293866320305,0.10184331797235023,0.014602017016523767
si,64,0.3,0.001,0.0,90,5000,1000.0,5.0,pool,grid,0.22605900460585318,0.975592885375494,0.2229052993497272,0.04657046142882594,0.08186215029138824,0.027419354838709678,0.0020038763509740154
si,64,0.3,0.001,0.0001,60,5000,1000.0,5.0,mean,grid,0.3117731282398664,0.9898616600790514,0.4629643471111443,0.23110636023516837,0.0798625946370892,0.09725148123765635,0.009592326139088728
si,64,0.3,0.001,0.0001,60,5000,1000.0,5.0,pool,grid,0.3024531334735823,0.9724110671936759,0.6545145377083489,0.06853732406912524,0.0877753661579478,0.029476629361421987,0.0020038763509740154
si,64,0.3,0.001,0.0001,90,5000,1000.0,5.0,mean,grid,0.2075697429872804,0.986798418972332,0.054488377307721055,0.04657046142882594,0.0852972843641584,0.07026003949967084,0.0020038763509740154
si,64,0.3,0.001,0.0001,90,5000,1000.0,5.0,pool,grid,0.19518829692790143,0.9951185770750988,0.05454443530906645,0.04657046142882594,0.048929297762890296,0.023963133640552997,0.0020038763509740154
si,64,0.3,0.0005,0.0,60,5000,1000.0,5.0,mean,grid,0.5046953826656698,0.8207114624505929,0.6117796546827117,0.4991804738998753,0.39372447148496914,0.380513495720869,0.32226273775500147
